month,state,district,pincode,bio_age_5_17,bio_18p,enroll_18p,bio_rate_18p,low_anomaly,zero_anomaly
2025-03-01,assam,Bongaigaon,783384,710,382,31.0,12.32258064516129,False,False
2025-03-01,assam,Bongaigaon,783390,446,74,15.0,4.933333333333334,False,False
2025-03-01,assam,Chirang,783390,296,205,15.0,13.666666666666666,False,False
2025-03-01,assam,Dhemaji,787057,174,111,19.0,5.842105263157895,False,False
2025-03-01,assam,Dhubri,783331,455,134,12.0,11.166666666666666,False,False
2025-03-01,assam,Dhubri,783334,754,149,25.0,5.96,False,False
2025-03-01,assam,Dhubri,783339,654,100,24.0,4.166666666666667,False,False
2025-03-01,assam,Dhubri,783348,1539,250,37.0,6.756756756756757,False,False
2025-03-01,assam,Dibrugarh,786602,93,73,14.0,5.214285714285714,False,False
2025-03-01,assam,Goalpara,783101,123,131,10.0,13.1,False,False
2025-03-01,assam,Hojai,782446,490,353,20.0,17.65,False,False
2025-03-01,assam,Kamrup,781354,124,90,13.0,6.923076923076923,False,False
2025-03-01,assam,Kamrup,781366,74,58,13.0,4.461538461538462,False,False
2025-03-01,assam,Karbi Anglong,782446,59,68,20.0,3.4,False,False
2025-03-01,assam,Kokrajhar,783339,16,1,24.0,0.041666666666666664,True,False
2025-03-01,assam,Kokrajhar,783350,452,43,41.0,1.048780487804878,False,False
2025-03-01,assam,Kokrajhar,783360,495,146,39.0,3.7435897435897436,False,False
2025-03-01,assam,Lakhimpur,787031,288,269,42.0,6.404761904761905,False,False
2025-03-01,assam,Marigaon,782104,204,92,56.0,1.6428571428571428,False,False
2025-03-01,assam,Marigaon,782105,307,143,169.0,0.8461538461538461,False,False
2025-03-01,assam,Marigaon,782127,392,201,20.0,10.05,False,False
2025-03-01,assam,Nagaon,782124,457,527,22.0,23.954545454545453,False,False
2025-03-01,assam,Nagaon,782446,100,80,20.0,4.0,False,False
2025-03-01,assam,Sonitpur,784110,235,90,43.0,2.0930232558139537,False,False
2025-03-01,assam,Tinsukia,786151,74,53,19.0,2.789473684210526,False,False
