state,pincode,avg_bio_rate,anomaly_count,zero_count,months_observed,zero_ratio,anomaly_ratio,risk_score
assam,785013,0.0,1,1,1,1.0,1.0,1.0
assam,784171,0.08403361344537816,0,0,1,0.0,0.0,0.1844961240310078
assam,786187,0.125,0,0,1,0.0,0.0,0.17777777777777778
assam,781022,0.3145634629493763,2,0,4,0.0,0.5,0.30214176084833266
assam,784502,0.35294117647058826,0,0,1,0.0,0.0,0.14782608695652175
assam,785667,0.425,0,0,2,0.0,0.0,0.14035087719298245
assam,787110,0.6153846153846154,0,0,1,0.0,0.0,0.12380952380952381
assam,786183,0.6551724137931034,0,0,1,0.0,0.0,0.12083333333333333
assam,784113,0.6873977086743044,0,0,2,0.0,0.0,0.11852570320077596
assam,785613,0.7083333333333333,0,0,2,0.0,0.0,0.11707317073170734
assam,784105,0.8125,0,0,1,0.0,0.0,0.1103448275862069
assam,785603,0.8232800608828006,0,0,5,0.0,0.0,0.10969241878461802
assam,781019,0.8793692022263452,2,0,5,0.0,0.4,0.22641868546269422
assam,784102,0.9333333333333333,0,0,1,0.0,0.0,0.10344827586206898
assam,785663,0.9848484848484849,0,0,2,0.0,0.0,0.10076335877862595
assam,785665,1.0,0,0,2,0.0,0.0,0.1
assam,785704,1.0,0,0,3,0.0,0.0,0.1
assam,781036,1.0064102564102564,1,1,5,0.2,0.2,0.25968051118210866
assam,781027,1.1,0,0,2,0.0,0.0,0.09523809523809523
assam,785701,1.125,0,0,2,0.0,0.0,0.09411764705882353
assam,786150,1.1401515151515151,0,0,2,0.0,0.0,0.09345132743362833
assam,785664,1.1458333333333335,0,0,2,0.0,0.0,0.09320388349514563
assam,785697,1.1708333333333334,0,0,4,0.0,0.0,0.09213051823416507
assam,785666,1.2,0,0,2,0.0,0.0,0.09090909090909091
assam,786611,1.2361895351025787,0,0,4,0.0,0.0,0.08943785706019128
assam,784103,1.2991071428571428,0,0,2,0.0,0.0,0.08699029126213592
assam,781037,1.345029239766082,1,0,3,0.0,0.3333333333333333,0.185286783042394
assam,786612,1.3548775873985959,0,0,5,0.0,0.0,0.08493010467730408
assam,786623,1.4,0,0,1,0.0,0.0,0.08333333333333334
assam,786621,1.4523809523809526,0,0,2,0.0,0.0,0.08155339805825243
assam,781013,1.5,0,0,2,0.0,0.0,0.08000000000000002
assam,785007,1.5,0,0,2,0.0,0.0,0.08000000000000002
assam,785111,1.5,0,0,1,0.0,0.0,0.08000000000000002
assam,785602,1.6066354077863028,0,0,4,0.0,0.0,0.07672726281649452
assam,781024,1.6071428571428572,1,0,4,0.0,0.25,0.1517123287671233
assam,785680,1.6470588235294117,0,0,1,0.0,0.0,0.07555555555555556
assam,781122,1.6923076923076923,0,0,1,0.0,0.0,0.07428571428571427
assam,785615,1.7425174225088413,0,0,4,0.0,0.0,0.07292569897953137
assam,781129,1.8,0,0,1,0.0,0.0,0.07142857142857144
assam,785014,1.8,0,0,1,0.0,0.0,0.07142857142857144
assam,781038,1.8313782991202345,0,0,3,0.0,0.0,0.07063697566027966
assam,788102,1.8928571428571428,1,0,4,0.0,0.25,0.1441358024691358
assam,781338,1.9166666666666667,1,1,3,0.3333333333333333,0.3333333333333333,0.3352380952380952
assam,781135,1.9458333333333335,0,0,3,0.0,0.0,0.06789250353606789
assam,785688,2.0,0,0,2,0.0,0.0,0.06666666666666667
assam,781120,2.0300000000000002,0,0,2,0.0,0.0,0.06600660066006601
assam,785612,2.053373121075931,0,0,6,0.0,0.0,0.06550132986351996
assam,781367,2.096774193548387,0,0,1,0.0,0.0,0.06458333333333334
assam,786191,2.1219949874686717,0,0,5,0.0,0.0,0.06406160189326919
assam,788103,2.125,0,0,1,0.0,0.0,0.064
assam,786188,2.3147727272727274,0,0,4,0.0,0.0,0.06033596160438807
assam,785699,2.340909090909091,0,0,2,0.0,0.0,0.0598639455782313
assam,781381,2.3444444444444446,0,0,3,0.0,0.0,0.059800664451827246
assam,785610,2.373015873015873,0,0,3,0.0,0.0,0.059294117647058824
assam,781031,2.4,0,0,1,0.0,0.0,0.05882352941176471
assam,781004,2.466666666666667,0,0,3,0.0,0.0,0.05769230769230769
assam,786692,2.5,0,0,2,0.0,0.0,0.05714285714285714
assam,786610,2.5591310704296975,0,0,5,0.0,0.0,0.056193491063495395
assam,787035,2.5925925925925926,0,0,3,0.0,0.0,0.05567010309278351
assam,784148,2.6,0,0,1,0.0,0.0,0.05555555555555556
assam,786181,2.6186313686313687,0,0,6,0.0,0.0,0.05526951480433432
assam,781014,2.625,0,0,4,0.0,0.0,0.05517241379310345
assam,786153,2.64,0,0,2,0.0,0.0,0.054945054945054944
assam,785700,2.666666666666667,0,0,2,0.0,0.0,0.05454545454545454
assam,785001,2.7176984126984127,0,0,4,0.0,0.0,0.053796725231091094
assam,783394,2.71875,0,0,2,0.0,0.0,0.05378151260504202
assam,786156,2.7214285714285715,0,0,4,0.0,0.0,0.05374280230326296
assam,781369,2.7857142857142856,0,0,1,0.0,0.0,0.052830188679245285
assam,784182,2.789473684210526,0,0,1,0.0,0.0,0.052777777777777785
assam,785625,2.808627450980392,0,0,5,0.0,0.0,0.05251235584843492
assam,786160,2.8424242424242427,0,0,2,0.0,0.0,0.052050473186119876
assam,781005,2.892417582417582,0,0,5,0.0,0.0,0.051381948561587766
assam,781008,2.994047619047619,0,0,4,0.0,0.0,0.05007451564828615
assam,781124,3.0,0,0,1,0.0,0.0,0.05
assam,784501,3.0,0,0,1,0.0,0.0,0.05
assam,786179,3.0,1,1,2,0.5,0.5,0.45
assam,781016,3.03125,1,1,4,0.25,0.25,0.2496124031007752
assam,781380,3.0646153846153847,0,0,5,0.0,0.0,0.04920514761544285
assam,785635,3.1461789844142785,0,0,6,0.0,0.0,0.04823718434534816
assam,781343,3.2055555555555557,0,0,3,0.0,0.0,0.047556142668428
assam,788164,3.222222222222222,0,0,3,0.0,0.0,0.04736842105263159
assam,788802,3.236111111111111,0,0,8,0.0,0.0,0.04721311475409837
assam,781007,3.272222222222222,0,0,5,0.0,0.0,0.04681404421326398
assam,786154,3.2916666666666665,0,0,3,0.0,0.0,0.046601941747572824
assam,786190,3.38,0,0,2,0.0,0.0,0.04566210045662101
assam,785703,3.3833333333333337,0,0,5,0.0,0.0,0.045627376425855515
assam,784147,3.4,0,0,3,0.0,0.0,0.045454545454545456
assam,781137,3.419501133786848,0,0,2,0.0,0.0,0.0452539763981529
assam,781346,3.4833333333333334,0,0,5,0.0,0.0,0.0446096654275093
assam,781015,3.5,0,0,4,0.0,0.0,0.044444444444444446
assam,784169,3.5,0,0,4,0.0,0.0,0.044444444444444446
assam,782442,3.566666666666667,0,0,2,0.0,0.0,0.043795620437956206
assam,785676,3.583333333333333,0,0,2,0.0,0.0,0.04363636363636364
assam,787057,3.595440476681812,0,0,7,0.0,0.0,0.043521399311957185
assam,788830,3.6630862871464376,1,1,7,0.14285714285714285,0.14285714285714285,0.1571757634257634
assam,781033,3.6666666666666665,0,0,1,0.0,0.0,0.042857142857142864
assam,788109,3.6666666666666665,0,0,3,0.0,0.0,0.042857142857142864
assam,788816,3.7135897435897434,1,0,5,0.0,0.2,0.1024305064461731
assam,787060,3.760509770000444,0,0,7,0.0,0.0,0.04201230743403796
assam,781006,3.8093317972350227,1,1,7,0.14285714285714285,0.14285714285714285,0.15587153294663175
assam,785619,3.8333333333333335,0,0,3,0.0,0.0,0.041379310344827586
assam,785616,3.8594771241830066,0,0,3,0.0,0.0,0.04115669132481506
assam,786103,3.8947368421052633,0,0,3,0.0,0.0,0.04086021505376344
assam,781018,3.944444444444444,0,0,6,0.0,0.0,0.040449438202247195
assam,781131,4.0,0,0,1,0.0,0.0,0.04000000000000001
assam,781328,4.0,1,1,3,0.3333333333333333,0.3333333333333333,0.30666666666666664
assam,785008,4.0,0,0,2,0.0,0.0,0.04000000000000001
assam,784170,4.034722222222222,0,0,6,0.0,0.0,0.039724137931034485
assam,782001,4.1,1,1,5,0.2,0.2,0.1992156862745098
assam,785693,4.166666666666666,0,0,2,0.0,0.0,0.03870967741935485
assam,781339,4.208333333333334,0,0,2,0.0,0.0,0.0384
assam,781003,4.25,0,0,2,0.0,0.0,0.0380952380952381
assam,781035,4.25,0,0,3,0.0,0.0,0.0380952380952381
assam,784172,4.375,0,0,4,0.0,0.0,0.037209302325581395
assam,781141,4.495670995670996,0,0,3,0.0,0.0,0.03639228042536432
assam,782439,4.526315789473684,0,0,2,0.0,0.0,0.03619047619047619
assam,788724,4.588754180602007,0,0,4,0.0,0.0,0.03578615081947592
assam,786004,4.6,0,0,1,0.0,0.0,0.03571428571428572
assam,785634,4.616271132376395,0,0,5,0.0,0.0,0.0356108163737057
assam,784529,4.666666666666667,0,0,3,0.0,0.0,0.03529411764705882
